constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30
HARBOUR,18,P K SEKARBABU,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,SINORA P S ASHOK,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,11750,14/14,Result Declared
HARUR,61,SAMPATHKUMAR. V,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,SHANMUGAM. A,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,3329,23/23,Result Declared
HOSUR,55,BALAKRISHNAREDDY. P,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,VENDARKARASAN.S,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,27803,32/32,Result Declared
JAYANKONDAM,150,VAITHILINGAM G.,Pattali Makkal Katchi,Pattali Makkal Katchi,,Leading In,:,0,Won In,:,4,Trailing In,:,0,KANNAN KA.SO.KA.,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,18490,25/25,Result Declared
JOLARPET,49,VEERAMANI K.C.,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,MUNISAMY C,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,16083,22/22,Result Declared
KADAYANALLUR,221,RAJENDRAN. T. M,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,C. KRISHNAMURALI,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,6253,27/27,Result Declared
KALASAPAKKAM,65,AGRI KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,SARAVANAN. P.S.T,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,26740,24/24,Result Declared
KALLAKURICHI,80,ARUL VIGNESH C,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,RAJEEVGANDHI S,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,798,27/27,Result Declared
KANCHEEPURAM,37,R.V. RANJITHKUMAR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,V. SOMASUNDARAM,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,15488,26/26,Result Declared
KANGAYAM,102,NSN NATARAJ,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,MANI GOUNDER,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,8133,24/24,Result Declared
KANNIYAKUMARI,229,THALAVAI SUNDARAM. N,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,MAHESH.R,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,214,34/34,Result Declared
KARAIKUDI,184,DR.PRABHU. TK,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,MANGUDI. S,Indian National CongressiParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Leading In,:,0,Won In,:,5,Trailing In,:,0,46074,30/30,Result Declared
KARUR,135,M.R. VIJAYABHASKAR,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,MATHIYALAGAN V.P,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,1821,21/21,Result Declared
KATPADI,40,DR M SUDHAKAR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,V. RAMU,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,5870,21/21,Result Declared
KATTUMANNARKOIL,159,L.E. JOTHIMANI,Viduthalai Chiruthaigal Katchi,Viduthalai Chiruthaigal Katchi,,Leading In,:,0,Won In,:,2,Trailing In,:,0,A. SOZHAN,Pattali Makkal KatchiiParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Pattali Makkal Katchi,iParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Leading In,:,0,Won In,:,4,Trailing In,:,0,33063,22/22,Result Declared
KAVUNDAMPALAYAM,117,KANIMOZHI SANTHOSH,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,ARUNKUMAR PRG,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,42140,28/28,Result Declared
KILLIYOOR,234,RAJESH KUMAR. S,Indian National Congress,Indian National Congress,,Leading In,:,0,Won In,:,5,Trailing In,:,0,SABIN. S,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,1311,23/23,Result Declared
KILPENNATHUR,64,RAMACHANDRAN.S,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,PITCHANDI.K,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,30465,23/23,Result Declared
KILVAITHINANKUPPAM,45,THENRAL KUMAR. E,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,JEGAN MOORTHY. M,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,20255,19/19,Result Declared
KILVELUR,164,LATHA. T,Communist Party of India (Marxist),Communist Party of India (Marxist),,Leading In,:,0,Won In,:,2,Trailing In,:,0,SENTHIL PANDIAN. P,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,2278,17/17,Result Declared
KINATHUKADAVU,122,VIGNESH K,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SABARI KARTHIKEYAN K.V.K.S,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,11710,31/31,Result Declared
KOLATHUR,13,V. S. BABU,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,M. K. STALIN,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,8795,22/22,Result Declared
KOVILPATTI,218,KARUNANITHI.K,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,BALASUBRAMANIAN.S,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,843,25/25,Result Declared
KRISHNAGIRI,53,MUKUNDHAN.P,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,ASHOKKUMAR.K,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,18844,25/25,Result Declared
KRISHNARAYAPURAM,136,SATHYA. M,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,DR. DHIVYA. S,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,3503,21/21,Result Declared
KULITHALAI,137,SURIYANUR. A. CHANDRAN,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,G.BALASUBRAMANI,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,579,21/21,Result Declared
KUMARAPALAYAM,97,C.VIJAYALAKSHMI,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,P.THANGAMANI,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,7696,24/24,Result Declared
KUMBAKONAM,171,VINOTH,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,ANBALAGAN G,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,679,23/23,Result Declared
KUNNAM,148,SIVASANKAR. S.S,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,SARANYA. A,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,15557,25/25,Result Declared
KURINJIPADI,156,M.R.K.PANNEERSELVAM,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,A BHUVANENTHIRAN,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,7589,20/20,Result Declared
LALGUDI,143,LEEMAROSE MARTIN,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,KU PA KRISHNAN,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,2739,21/21,Result Declared
MADATHUKULAM,126,R JAYARAMAKRISHNAN,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,C SHANMUGAVELU,Amma Makkal Munnettra KazagamiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Amma Makkal Munnettra Kazagam,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,15968,22/22,Result Declared
MADAVARAM,9,M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,S.SUDHARSANAM,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,94985,19/19,Result Declared
MADURAI CENTRAL,193,MADHAR BADHURUDEEN,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,PALANIVEL THIAGA RAJAN,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,19128,19/19,Result Declared
MADURAI EAST,189,KARTHIKEYAN S,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,MOORTHY P,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,16547,29/29,Result Declared
MADURAI NORTH,191,A.KALLANAI,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,G.THALAPATHI,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,18038,19/19,Result Declared
MADURAI SOUTH,192,M.M.GOPISON,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,M.BOOMINATHAN,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,21529,17/17,Result Declared
MADURAI WEST,194,THANGAPANDI SR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,BALAJI R,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,11931,27/27,Result Declared
MADURANTAKAM,35,MARAGATHAM KUMARAVEL.K,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,EZHIL KATHARINE EZHILMALAI,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,7194,22/22,Result Declared
MADURAVOYAL,7,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,GANAPATHY. K,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,61509,27/27,Result Declared
MAILAM,71,SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,VIJAY NIRANJAN A,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,30041,21/21,Result Declared
MANACHANALLUR,144,KATHIRAVAN. S,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,V.SARAVANAN,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,12364,22/22,Result Declared
MANAMADURAI,187,ELANGOVAN.D,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,TAMILARASI.A,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,1208,27/27,Result Declared
MANAPPARAI,138,R. KATHIRAVAN,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,DR. PL. VIJAYAKUMAR,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,1426,26/26,Result Declared
MANNARGUDI,167,KAMARAJ. S,Amma Makkal Munnettra Kazagam,Amma Makkal Munnettra Kazagam,,Leading In,:,0,Won In,:,1,Trailing In,:,0,RAJAA.T.R.B,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,1566,22/22,Result Declared
MAYILADUTHURAI,161,JAMAL MOHAMED YOUNOOS. Y.N,Indian National Congress,Indian National Congress,,Leading In,:,0,Won In,:,5,Trailing In,:,0,PALANISAMY. A M.COM.,Pattali Makkal KatchiiParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Pattali Makkal Katchi,iParty Wise State TrendsLeading In:0Won In:4Trailing In:0,Leading In,:,0,Won In,:,4,Trailing In,:,0,10845,22/22,Result Declared
MELUR,188,P.VISWANATHAN,Indian National Congress,Indian National Congress,,Leading In,:,0,Won In,:,5,Trailing In,:,0,A.MADURAIVEERAN,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,2724,21/21,Result Declared
METTUPPALAYAM,111,SUNILANAND,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SMT.KAVITHA KALYANASUNDARAM,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,7768,27/27,Result Declared
METTUR,85,VENKATACHALAM. G,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,MIDHUN CHAKRAVARTHY. M,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,19105,30/30,Result Declared
MODAKKURICHI,100,D.SHANMUGAN,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,S.KIRTHIKA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,2430,21/21,Result Declared
MUDHUKULATHUR,212,R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,MALARVIZHI. B,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,16598,31/31,Result Declared
MUSIRI,145,M.VIGNESH,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,N.S.KARUNAIRAAJA,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,17442,21/21,Result Declared
MYLAPORE,25,VENKATARAMANAN. P,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,VELU. DHA,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,28972,21/21,Result Declared
NAGAPATTINAM,163,M.H.JAWAHIRULLAH,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,M.SUGUMAR,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,9781,19/19,Result Declared
NAGERCOIL,230,AUSTIN,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,BERVIN KINGS G,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,7570,23/23,Result Declared
NAMAKKAL,94,DILIP C S,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SRIDEVI MOHAN P S,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,11008,23/23,Result Declared
NANGUNERI,227,REDDIARPATTI V. NARAYANAN,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,RUBY.R.MANOHARAN,Indian National CongressiParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Leading In,:,0,Won In,:,5,Trailing In,:,0,16419,25/25,Result Declared
NANNILAM,169,KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,MOHAMED MUBARAK,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,41724,25/25,Result Declared
NATHAM,131,NATHAM VISWANATHAN R,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,SELVAKUMAR K,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,11869,27/27,Result Declared
NEYVELI,153,RAJENDRAN.R,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,SABA.RAJENDRAN,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,10962,20/20,Result Declared
