const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,1,R. SATHYA,All India Anna Dravida Munnetra Kazhagam,48461,418,48879,27.96
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,2,BALAJI RAMACHANDRAN,Naam Tamilar Katchi,11574,206,11780,6.74
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,3,MARKANDAYAN G V,Dravida Munnetra Kazhagam,57458,937,58395,33.4
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,4,P. KASIRAM,Tamilaga Vettri Kazhagam,49578,589,50167,28.7
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,5,R. PERUMAL,Naam Indiar Party,164,2,166,0.09
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,6,C. PONPANDI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1359,21,1380,0.79
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,7,P.MADASAMY,Puthiya Tamilagam,1995,62,2057,1.18
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,8,K. AJAY KUMAR,Independent,163,3,166,0.09
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,9,V. GANESAN,Independent,87,1,88,0.05
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,10,A. PATTURAJ,Independent,68,3,71,0.04
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,11,A. PRABAHAR,Independent,87,0,87,0.05
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,12,M. PONNUSAMY,Independent,166,6,172,0.1
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,13,G. MUNIYASAMY,Independent,175,0,175,0.1
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,14,P. RAJASEKARAN,Independent,440,1,441,0.25
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,15,P. JEYAKUMAR,Independent,145,3,148,0.08
213,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22213.htm,16,NOTA,None of the Above,636,6,642,0.37
