const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,1,G.HARI,All India Anna Dravida Munnetra Kazhagam,87893,1276,89169,37.34
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,2,D.KRISHNAMURTHY,Desiya Murpokku Dravida Kazhagam,53976,887,54863,22.97
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,3,CHANDRAN .S.S,Naam Tamilar Katchi,6516,188,6704,2.81
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,4,MUTHURAJ.G,Bahujan Samaj Party,469,1,470,0.2
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,5,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,82608,768,83376,34.91
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,6,BALAJI.A,Thakkam Katchi,272,0,272,0.11
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,7,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,130,2,132,0.06
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,8,KRISHNAMOORTHY.K,Independent,201,9,210,0.09
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,9,KRISHNAMOORTHY.D,Independent,460,7,467,0.2
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,10,KRISHNAMOORTHY.M,Independent,943,3,946,0.4
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,11,SHETTU.S,Independent,152,1,153,0.06
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,12,DR.A.V.NARENDRAN,Independent,197,1,198,0.08
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,13,JAMBU.B,Independent,623,5,628,0.26
3,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,14,NOTA,None of the Above,1180,30,1210,0.51
