const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,1,DURAI CHANDRASEKAR,Indian National Congress,54301,370,54671,24.1
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,2,SANTHOSHKUMAR.J,Bahujan Samaj Party,611,4,615,0.27
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,3,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,51160,308,51468,22.69
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,4,RAJATHI.M,Naam Tamilar Katchi,6633,43,6676,2.94
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,5,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,360,6,366,0.16
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,6,RAJA.S,Vanchit Bahujan Aaghadi,295,4,299,0.13
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,7,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,163,3,166,0.07
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,8,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,371,0,371,0.16
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,9,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,110051,388,110439,48.69
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,10,NAGAIYAN.G,Independent,227,5,232,0.1
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,11,BARATHIRAJA.K,Independent,155,4,159,0.07
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,12,RAJASEKAR.J,Independent,288,1,289,0.13
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,13,VENKATESAN.S,Independent,202,1,203,0.09
2,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,14,NOTA,None of the Above,859,6,865,0.38
