const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,1,KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,102544,918,103462,44.7
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,2,THENMOZHI DILIPKUMAR,Naam Tamilar Katchi,8370,76,8446,3.65
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,3,MOHAMED MUBARAK,Dravida Munnetra Kazhagam,61181,557,61738,26.68
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,4,SIVARAMAN. T,Tamizhaga Vaazhvurimai Katchi,287,2,289,0.12
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,5,TAMILSELVAN. M,Puthiya Tamilagam,215,4,219,0.09
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,6,PRABHAKARAN. S,Tamilaga Vettri Kazhagam,54262,268,54530,23.56
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,7,RAJA. S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,854,7,861,0.37
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,8,SANKAR. R,Independent,52,0,52,0.02
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,9,SHANMUGARAJA. D,Independent,76,10,86,0.04
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,10,SURESH. V,Independent,104,0,104,0.04
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,11,BHARATHIMOHAN. K.S,Independent,98,5,103,0.04
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,12,MOHUMED RIYAS. K,Independent,140,3,143,0.06
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,13,RAVICHANDRAN. R,Independent,251,0,251,0.11
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,14,RAJASEKAR. R,Independent,224,0,224,0.1
169,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22169.htm,15,NOTA,None of the Above,930,6,936,0.4
