const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,1,ESWARAN E R,Dravida Munnetra Kazhagam,48320,1145,49465,25.88
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,2,SRMT SEKAR (A) CHANDRASEKAR R,All India Anna Dravida Munnetra Kazhagam,50439,889,51328,26.86
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,3,REVATHI K,Naam Tamilar Katchi,6001,84,6085,3.18
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,4,ARUNRAJ K G,Tamilaga Vettri Kazhagam,78824,676,79500,41.6
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,5,SHARAVANAN A K,Tamizhaga Vaazhvurimai Katchi,351,3,354,0.19
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,6,CHINNATHAMBI K,Republican Party of India (Athawale),287,9,296,0.15
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,7,DHANAPAL SUBRAMANIYAM,Anaithinthiya Anna Dravida Makkal Seyal katchi,91,0,91,0.05
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,8,THIRUKKUMARAN P,Makkal Munnetra Katchi,51,1,52,0.03
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,9,MUNUSAMY A T,Samaniya Makkal Nala Katchi,36,2,38,0.02
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,10,ARULPRAKASAM S,Independent,49,0,49,0.03
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,11,ARJUNAN L K,Independent,24,0,24,0.01
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,12,ESWARAN M,Independent,91,2,93,0.05
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,13,SATHEESKUMAR P,Independent,249,2,251,0.13
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,14,SARAVANASUNDARAM S,Independent,1173,17,1190,0.62
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,15,DHINESH KARIKALAN,Independent,246,1,247,0.13
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,16,DEEPAKRAJAN V,Independent,496,1,497,0.26
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,17,PALANISAMY K,Independent,319,5,324,0.17
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,18,BALAJI CHEZHIAN P,Independent,189,0,189,0.1
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,19,MAHESHKUMAR N,Independent,45,0,45,0.02
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,20,RAMESH S,Independent,298,0,298,0.16
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,21,RAJAKUMAR P,Independent,96,0,96,0.05
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,22,REVANTH S N,Independent,37,0,37,0.02
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,23,VISWANATHAN P,Independent,53,0,53,0.03
96,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2296.htm,24,NOTA,None of the Above,509,11,520,0.27
