const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,1,INDIRANI.T,Dravida Munnetra Kazhagam,63336,1037,64373,32.2
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,2,SATHYABAMA.P,All India Anna Dravida Munnetra Kazhagam,80248,852,81100,40.56
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,3,DHIVYA,Naam Tamilar Katchi,5936,90,6026,3.01
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,4,GOWRI CHITRA,Tamilaga Vettri Kazhagam,46099,339,46438,23.23
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,5,ANANTHI.S,Independent,149,2,151,0.08
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,6,INDHIRANI.C,Independent,138,4,142,0.07
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,7,GOWRI.P,Independent,120,5,125,0.06
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,8,MOHANRAJ.M,Independent,173,1,174,0.09
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,9,ROHINI.S,Independent,357,0,357,0.18
101,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22101.htm,10,NOTA,None of the Above,1037,21,1058,0.53
