const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,1,S.GOKULA INDIRA,All India Anna Dravida Munnetra Kazhagam,33923,459,34382,21.05
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,2,S.SHANKAR,Naam Tamilar Katchi,4796,43,4839,2.96
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,3,N.CHITRARASU,Dravida Munnetra Kazhagam,49367,645,50012,30.62
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,4,B.ANAND,Thakkam Katchi,124,3,127,0.08
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,5,S.DHAYALAN,Thamizhaga Munnetra Congress,184,2,186,0.11
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,6,V.K.RAMKUMAR,Tamilaga Vettri Kazhagam,70986,389,71375,43.7
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,7,E.V.S.RAJAKUMAR NAIDU,Tamil Telugu National Party,133,1,134,0.08
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,8,N.P.RAJHA,Naam Indiar Party,23,0,23,0.01
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,9,T S HABEEB MOHAMMAD,Independent,127,4,131,0.08
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,10,S ANSAR ALI,Independent,24,3,27,0.02
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,11,G OMPRAKASH,Independent,39,2,41,0.03
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,12,L KASINATHAN,Independent,50,0,50,0.03
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,13,S SATHISH KUMAR,Independent,50,0,50,0.03
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,14,G.SIVA KUMAR,Independent,57,1,58,0.04
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,15,M SELVAMUTHUKUMAR,Independent,36,0,36,0.02
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,16,L NARENDRAN,Independent,129,0,129,0.08
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,17,J NAGARAJ,Independent,126,0,126,0.08
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,18,M MANOHARAN,Independent,26,1,27,0.02
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,19,MOHAMMED BILAL FATHICK,Independent,101,0,101,0.06
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,20,RAMAMOORTHY E,Independent,33,2,35,0.02
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,21,RAJENDIRAN NAIDU,Independent,70,0,70,0.04
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,22,S VINESH KUMAR,Independent,286,3,289,0.18
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,23,JANARTHANAN P,Independent,71,0,71,0.04
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,24,M HARISHANKAR,Independent,56,1,57,0.03
21,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,25,NOTA,None of the Above,945,18,963,0.59
