const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,1,ABUBACKER SIDDHEEQ,Naam Tamilar Katchi,10813,152,10965,4.94
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,2,RAJENDRAN. T. M,Dravida Munnetra Kazhagam,78809,1023,79832,35.97
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,3,C. KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,72625,954,73579,33.15
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,4,T. MAHESHKUMAR,Bahujan Samaj Party,505,5,510,0.23
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,5,ABDUL JALEEL. R. K,Tamilaga Vettri Kazhagam,48793,461,49254,22.19
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,6,KAVITHA. R,Puthiya Tamilagam,2785,97,2882,1.3
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,7,SHAHIN FATHIMA. A,Tamizhaga Vaazhvurimai Katchi,351,5,356,0.16
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,8,SURESHKUMAR. S,Naam Indiar Party,53,0,53,0.02
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,9,RAJAN. B. S,Aanaithinthiya Jananayaka Pathukappu Kazhagam,238,6,244,0.11
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,10,LAKSHMI. A,Samata Party,176,3,179,0.08
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,11,M. ARUMUGASAMY,Independent,99,2,101,0.05
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,12,ESAKKI. K,Independent,138,0,138,0.06
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,13,ESAKKI PANDI. K,Independent,575,1,576,0.26
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,14,GANESAN. M,Independent,396,17,413,0.19
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,15,SEENIVASAN. S,Independent,369,11,380,0.17
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,16,NAGARAJAN. L,Independent,290,0,290,0.13
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,17,PARTHIPAN. V,Independent,212,4,216,0.1
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,18,BARISHA BANU. M,Independent,463,4,467,0.21
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,19,MURUGAN. P,Independent,535,2,537,0.24
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,20,S. MURUGANANTHAM,Independent,107,2,109,0.05
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,21,RAJAMARAVAN. S,Independent,231,3,234,0.11
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,22,VENKATESH. P,Independent,108,1,109,0.05
221,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22221.htm,23,NOTA,None of the Above,521,6,527,0.24
