const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,1,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,88339,798,89137,37.52
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,2,GBS K.NAGENDRAN,Bharatiya Janata Party,57156,574,57730,24.3
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,3,S.M. MUTHU KESAVAN,Naam Tamilar Katchi,10637,129,10766,4.53
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,4,DR.J. ABUBAKKAR SITHICK,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,359,0,359,0.15
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,5,SHAHUL HAMEED,Tamilaga Vettri Kazhagam,76228,450,76678,32.28
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,6,C. PARIRAJAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,226,3,229,0.1
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,7,S. MURUGABOOPATHY,Communist Party of India (Marxist-Leninist) (Liberation),145,1,146,0.06
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,8,KAN ILANGO,Independent,340,7,347,0.15
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,9,KARTHIGAI PANDI,Independent,158,2,160,0.07
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,10,A. CHINNA RAJA,Independent,343,7,350,0.15
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,11,BALAKRISHNAN,Independent,141,1,142,0.06
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,12,PULLANI,Independent,223,0,223,0.09
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,13,K. MALESWARAN,Independent,355,1,356,0.15
211,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22211.htm,14,NOTA,None of the Above,942,11,953,0.4
