const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,1,ELAMATHI SUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,52592,330,52922,25.33
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,2,GOVI.CHEZHIAAN,Dravida Munnetra Kazhagam,79307,644,79951,38.26
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,3,M.DIVYA BHARATHI,Naam Tamilar Katchi,6313,50,6363,3.05
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,4,T.M.PURATCHI MANI,Bahujan Samaj Party,1021,22,1043,0.5
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,5,KANNAIYAN. T,Communist Party of India (Marxist-Leninist) (Liberation),317,4,321,0.15
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,6,S.PRABAKARAN,Tamilaga Vettri Kazhagam,65620,215,65835,31.51
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,7,A.VISWANATHAN,Tamizhaga Vaazhvurimai Katchi,272,1,273,0.13
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,8,ARAVINDARAJ. R,Independent,84,0,84,0.04
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,9,KEERTHIGA. K,Independent,90,5,95,0.05
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,10,SELVARANI. S,Independent,131,8,139,0.07
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,11,M.TAMILMARAN,Independent,141,2,143,0.07
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,12,DHANASEKAR,Independent,266,0,266,0.13
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,13,L.PRABAKARAN,Independent,174,0,174,0.08
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,14,P.MANIKANDAN,Independent,587,1,588,0.28
170,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22170.htm,15,NOTA,None of the Above,740,7,747,0.36
