const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,1,ABDUR RAHMAN. A.R,Viduthalai Chiruthaigal Katchi,66816,919,67735,32.14
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,2,BANUPRIYA. M,Naam Tamilar Katchi,4783,101,4884,2.32
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,3,MOHAN. K,All India Anna Dravida Munnetra Kazhagam,77385,1013,78398,37.2
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,4,SRIKANTHU. S,Bahujan Samaj Party,410,2,412,0.2
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,5,SURENDAR. R,Tamizhaga Vaazhvurimai Katchi,1430,19,1449,0.69
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,6,PRAKASH. R,Thamizhaka Padaippalar Makkal Katchi,387,1,388,0.18
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,7,MANIKANDAN. M,Tamilaga Vettri Kazhagam,55455,567,56022,26.58
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,8,MOHAMMED SAFI. A,Independent,430,1,431,0.2
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,9,RAMALINGAM. A,Independent,138,3,141,0.07
154,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22154.htm,10,NOTA,None of the Above,899,8,907,0.43
