const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,1,ANUSHA V,Naam Tamilar Katchi,4525,29,4554,3.4
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,2,SATHIYANARAYANAN B,All India Anna Dravida Munnetra Kazhagam,38048,557,38605,28.83
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,3,RAJA ANBAZHAGAN,Dravida Munnetra Kazhagam,36609,408,37017,27.64
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,4,ANAND N,Tamilaga Vettri Kazhagam,51390,242,51632,38.55
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,5,RAVI M L,Desiya Makkal Sakthi Katchi,108,0,108,0.08
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,6,ABUKITHER M,Independent,122,1,123,0.09
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,7,ARAVIND GOSH Y T,Independent,29,1,30,0.02
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,8,EASAN NATARAJAN T,Independent,40,1,41,0.03
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,9,KUMAR SRI SRI B,Independent,20,2,22,0.02
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,10,SATHISH KUMAR B,Independent,26,5,31,0.02
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,11,GNANASEKARAN G,Independent,38,6,44,0.03
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,12,THENNARASU P,Independent,14,3,17,0.01
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,13,PADMINI NARASIMHAN,Independent,118,6,124,0.09
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,14,BADRI S,Independent,78,1,79,0.06
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,15,BALAJI S,Independent,27,2,29,0.02
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,16,PRASATH D,Independent,45,0,45,0.03
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,17,MANIKANDAN T,Independent,35,1,36,0.03
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,18,MANIKANDAN N,Independent,79,0,79,0.06
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,19,MOORTHY N,Independent,63,1,64,0.05
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,20,MYTHILI C,Independent,85,1,86,0.06
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,21,RAMKUMAR L,Independent,31,0,31,0.02
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,22,RAMACHANDRAN O N,Independent,70,4,74,0.06
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,23,RAJESH E,Independent,66,1,67,0.05
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,24,VETRIVEL K,Independent,68,0,68,0.05
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,25,JAYAVEL,Independent,23,0,23,0.02
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,26,JOTHIRAJ G M,Independent,21,0,21,0.02
24,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,27,NOTA,None of the Above,861,17,878,0.66
