const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,1,AFSHIA NASRIN. S,Naam Tamilar Katchi,4143,42,4185,2.14
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,2,WAZEER AHMED. J,Bahujan Samaj Party,381,3,384,0.2
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,3,VILWANATHAN. A.C.,Dravida Munnetra Kazhagam,73543,559,74102,37.89
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,4,VENKATESAN. R,All India Anna Dravida Munnetra Kazhagam,46768,332,47100,24.08
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,5,ASADULLAH. B,Indian National League,457,0,457,0.23
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,6,IMTHIYAZ PANDARATTUDU ABDU,Tamilaga Vettri Kazhagam,66689,282,66971,34.24
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,7,KAREEM BASHA. A,All India Majlis-E-Inquilab-E-Millat,168,0,168,0.09
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,8,GOVINDHAN. A,All India Youth Development Party,85,0,85,0.04
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,9,SASI REKA. Y,Makkal Arasial Katchi,193,1,194,0.1
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,10,HAROON RASHEED BADU,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,91,2,93,0.05
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,11,KUMARAVEL. P,Independent,193,0,193,0.1
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,12,FIRDOSE AHMED. M,Independent,124,6,130,0.07
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,13,MUSHTAQ AHMED KUTLAPPAI,Independent,150,1,151,0.08
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,14,VISWANATHAN. J,Independent,486,4,490,0.25
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,15,VENKATESAN. M,Independent,181,1,182,0.09
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,16,SRINATH,Independent,231,0,231,0.12
48,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2248.htm,17,NOTA,None of the Above,465,3,468,0.24
