const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,1,USHARANI. P,All India Anna Dravida Munnetra Kazhagam,86895,877,87772,34.61
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,2,PALANISAMY. K,Bahujan Samaj Party,900,10,910,0.36
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,3,PALANISAMY. M,Naam Tamilar Katchi,7472,129,7601,3
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,4,REVATHI. T.M,Dravida Munnetra Kazhagam,67152,893,68045,26.83
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,5,GOPI. C,Communist Party of India (Marxist-Leninist) (Liberation),653,5,658,0.26
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,6,LAKSHMI JANARTHANAN. J,Tamilaga Vettri Kazhagam,84951,632,85583,33.75
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,7,VENGATESHSAN. T,Tamizhaga Vaazhvurimai Katchi,234,1,235,0.09
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,8,KARTHIK. N,Independent,93,1,94,0.04
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,9,KALIYAPPAN. A,Independent,123,0,123,0.05
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,10,THANGADURAI. N,Independent,291,3,294,0.12
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,11,PAZHANIVEL. K,Independent,303,0,303,0.12
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,12,VIJAYAKUMAR. N,Independent,210,1,211,0.08
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,13,VENKATESAN. S,Independent,510,3,513,0.2
83,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2283.htm,14,NOTA,None of the Above,1231,19,1250,0.49
