const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,1,SRINIVASAN.P.S,Dravida Munnetra Kazhagam,74147,544,74691,33.55
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,2,NAGARAJ.R,Naam Tamilar Katchi,4471,48,4519,2.03
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,3,MUNUSAMY.K.P,All India Anna Dravida Munnetra Kazhagam,74020,533,74553,33.49
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,4,IYAPPAN.L,Tamizhaga Vaazhvurimai Katchi,867,4,871,0.39
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,5,SAMPANGI.S.R,Tamilaga Vettri Kazhagam,63487,420,63907,28.71
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,6,SENTHILKUMAR.R,Tamil Nadu Ilangyar Katchi,215,0,215,0.1
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,7,PRAJAPATHI VIJAY.C,Tamilar Makkal Katchi,154,2,156,0.07
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,8,ESHWARAN.C,Independent,151,1,152,0.07
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,9,GOVINDARAJ.G.J,Independent,183,2,185,0.08
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,10,MANOHARAN.K.A,Independent,345,0,345,0.15
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,11,YUVARAJ.K.P.U,Independent,262,3,265,0.12
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,12,RAMASAMY.G.C,Independent,487,0,487,0.22
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,13,VENKATESAN.C,Independent,690,2,692,0.31
54,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2254.htm,14,NOTA,None of the Above,1559,11,1570,0.71
