const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,1,ABDUL HAKEEM K,Naam Tamilar Katchi,5486,63,5549,3.73
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,2,SUNDAR C,All India Anna Dravida Munnetra Kazhagam,33298,240,33538,22.57
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,3,PALANIVEL THIAGA RAJAN,Dravida Munnetra Kazhagam,43834,452,44286,29.8
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,4,RAMAR PANDI T,Bahujan Samaj Party,263,5,268,0.18
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,5,SAKKARAVARTHY P,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,310,3,313,0.21
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,6,MADHAR BADHURUDEEN,Tamilaga Vettri Kazhagam,63106,308,63414,42.68
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,7,AVADAINATHAN V,Independent,145,0,145,0.1
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,8,GURU KARTHICK T,Independent,72,0,72,0.05
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,9,SALEEM,Independent,104,1,105,0.07
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,10,SIVAPERUMAL V,Independent,64,1,65,0.04
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,11,MANIVANNAN,Independent,83,0,83,0.06
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,12,RAJENDRAN R,Independent,91,1,92,0.06
193,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22193.htm,13,NOTA,None of the Above,644,12,656,0.44
