const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,1,THIRUMARAN. K.C,Bharatiya Janata Party,28778,276,29054,13.47
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,2,PERIAKARUPPAN. KR,Dravida Munnetra Kazhagam,82191,1183,83374,38.65
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,3,RAMYA MOHAN,Naam Tamilar Katchi,15189,102,15291,7.09
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,4,UMADEVI. S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,603,8,611,0.28
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,5,SEENIVASA SETHUPATHY. R,Tamilaga Vettri Kazhagam,83010,365,83375,38.65
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,6,SHANMUGAM. M,Independent,380,3,383,0.18
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,7,SETHU. P,Independent,134,1,135,0.06
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,8,PANCHAVARNAM. M,Independent,129,0,129,0.06
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,9,BAKIYALAKSHMI. M,Independent,265,1,266,0.12
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,10,PIRAMAN. P,Independent,220,3,223,0.1
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,11,MALLIKA. A,Independent,135,8,143,0.07
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,12,MARIMUTHU. S,Independent,348,2,350,0.16
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,13,RAJA. K.P.M,Independent,746,7,753,0.35
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,14,DR.VINAYAGA MEYYARASU. T,Independent,376,4,380,0.18
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,15,VISHWANATHAN. S,Independent,496,0,496,0.23
185,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22185.htm,16,NOTA,None of the Above,741,6,747,0.35
