const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,1,OORVASI AMIRTHARAJ. S,Indian National Congress,40316,961,41277,23.4
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,2,SHUNMUGASUNDARAM. S,Naam Tamilar Katchi,12912,241,13153,7.46
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,3,SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra Kazhagam,56712,916,57628,32.67
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,4,SARAVANAN. G,Tamilaga Vettri Kazhagam,58143,671,58814,33.34
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,5,SUDALAIMANI. A,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,295,1,296,0.17
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,6,SUBRAMANIAN. M,Puthiya Makkal Tamil Desam Katchi,206,2,208,0.12
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,7,BHARATH. M,Naam Indiar Party,85,2,87,0.05
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,8,MUNDASAMY. K,Vishwa Tamil Kazhagam,129,1,130,0.07
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,9,MUTHURAMALINGAM. S,All India Forward Bloc,2299,48,2347,1.33
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,10,RAJASUTHAN. N,Puthiya Tamilagam,959,56,1015,0.58
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,11,VIYANARASU. A,Tamizhaga Vaazhvurimai Katchi,132,3,135,0.08
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,12,ARUNACHALAM. C,Independent,137,2,139,0.08
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,13,BISHOP DR GODFREY NOBLE,Independent,245,3,248,0.14
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,14,MURUGAN. S,Independent,177,1,178,0.1
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,15,VASANTH FERNANDO. T,Independent,187,0,187,0.11
216,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22216.htm,16,NOTA,None of the Above,566,13,579,0.33
