const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,1,NAGAMMAL RAJKODI,Naam Tamilar Katchi,7379,115,7494,3
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,2,MALATHI K,Viduthalai Chiruthaigal Katchi,76696,970,77666,31.11
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,3,RAJEEVGANDHI S,All India Anna Dravida Munnetra Kazhagam,79562,772,80334,32.18
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,4,ARUL VIGNESH C,Tamilaga Vettri Kazhagam,80572,560,81132,32.5
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,5,SELVARAJ M,Independent,219,0,219,0.09
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,6,PRABU C,Independent,145,0,145,0.06
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,7,MALATHI K,Independent,177,2,179,0.07
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,8,RAJIVGANDHI S,Independent,196,0,196,0.08
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,9,RAJIVGANDHI P,Independent,306,2,308,0.12
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,10,VASANTHAKUMAR S,Independent,412,5,417,0.17
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,11,VIGNESH G,Independent,649,4,653,0.26
80,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2280.htm,12,NOTA,None of the Above,847,36,883,0.35
