const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,1,AMBETHKUMAR. S,Dravida Munnetra Kazhagam,63011,794,63805,33.37
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,2,GANESH. R,Naam Tamilar Katchi,5422,73,5495,2.87
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,3,RANI. P,All India Anna Dravida Munnetra Kazhagam,59842,630,60472,31.63
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,4,UDHAYAKUMAR. M,Tamilaga Vettri Kazhagam,57810,364,58174,30.43
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,5,THAMARAI SELVI. S,Tamizhaga Vaazhvurimai Katchi,248,4,252,0.13
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,6,MUTHUSELVAM. V,Anti Corruption Dynamic Party,112,1,113,0.06
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,7,MUTHUPERUMAL. K,Aanaithinthiya Jananayaka Pathukappu Kazhagam,121,3,124,0.06
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,8,RAKESH SHARMA. R,Thakkam Katchi,61,0,61,0.03
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,9,AMBEDKAR. T,Independent,65,39,104,0.05
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,10,ARJUNAN. M,Independent,41,0,41,0.02
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,11,UDHAYAKUMAR. N,Independent,160,27,187,0.1
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,12,KANNIYAPPAN. S,Independent,117,4,121,0.06
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,13,PONNAMBALAM. P,Independent,262,0,262,0.14
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,14,RANI. A,Independent,672,2,674,0.35
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,15,JAISANKAR. M,Independent,330,1,331,0.17
69,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2269.htm,16,NOTA,None of the Above,981,7,988,0.52
