const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,1,ASHOKAN G,Indian National Congress,56596,443,57039,29.47
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,2,ESTHER MARY DIANA A,Naam Tamilar Katchi,10087,104,10191,5.27
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,3,SURESH K,Bahujan Samaj Party,229,0,229,0.12
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,4,RAJENTHRABHALAJI K T,All India Anna Dravida Munnetra Kazhagam,50595,483,51078,26.39
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,5,GANESAN M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1695,34,1729,0.89
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,6,KANIPANDI M,Puthiya Tamilagam,2484,29,2513,1.3
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,7,KEERTHANA S,Tamilaga Vettri Kazhagam,68273,436,68709,35.51
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,8,CHINNADURAI ALIAS DIMITRO S,Communist Party of India (Marxist-Leninist) (Liberation),162,0,162,0.08
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,9,GANESAN S,Independent,102,0,102,0.05
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,10,GANESAN V,Independent,80,0,80,0.04
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,11,NAGALAKSHMI V,Independent,204,1,205,0.11
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,12,MURUGAN M,Independent,120,0,120,0.06
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,13,RAMESH P,Independent,210,3,213,0.11
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,14,VENKATESH V,Independent,195,4,199,0.1
205,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22205.htm,15,NOTA,None of the Above,933,15,948,0.49
