const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,1,REGUPATHY.S,Dravida Munnetra Kazhagam,57676,525,58201,31.87
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,2,LAKSHMI SRINIVASAN,Naam Tamilar Katchi,9037,65,9102,4.98
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,3,VAIRAMUTHU.PK,All India Anna Dravida Munnetra Kazhagam,55073,391,55464,30.37
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,4,CHINTHAMANI.C,Tamilaga Vettri Kazhagam,56463,246,56709,31.05
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,5,SUBBIAH.A,Puthiya Tamilagam,358,1,359,0.2
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,6,MUTHUKARUPPAN.CN,Party for the Rights of Other backward Classes,225,3,228,0.12
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,7,RAMSINGH.SK,Tamizhaga Vaazhvurimai Katchi,97,0,97,0.05
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,8,RAJA.K,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,133,2,135,0.07
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,9,ESWAR.S,Independent,238,0,238,0.13
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,10,SATHISHKUMAR.M,Independent,86,0,86,0.05
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,11,CHINNATHAMBI.P,Independent,193,0,193,0.11
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,12,SUBRAMANIAN.P,Independent,278,1,279,0.15
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,13,DURAIRAJAN.M,Independent,289,0,289,0.16
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,14,RAMNATH.T,Independent,285,2,287,0.16
181,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22181.htm,15,NOTA,None of the Above,937,8,945,0.52
