const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,1,S R K APPU,All India Anna Dravida Munnetra Kazhagam,44934,524,45458,23.86
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,2,P.KARTHIKEYAN,Dravida Munnetra Kazhagam,65587,668,66255,34.77
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,3,A.SONIYA,Naam Tamilar Katchi,3731,62,3793,1.99
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,4,S.M.IRSHAD,Tamizhaga Vaazhvurimai Katchi,130,5,135,0.07
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,5,S.GIRIDHARA PRASAD,Party for the Rights of Other backward Classes,103,0,103,0.05
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,6,K.MUNIYAPPAN,ALL PENSIONER'S PARTY,54,1,55,0.03
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,7,K.M.VINAAYAGAM,Viro Ke Vir Indian Party,87,1,88,0.05
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,8,K.VIMALA,Naam Indiar Party,195,0,195,0.1
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,9,M.M.VINOTH KANNAN,Tamilaga Vettri Kazhagam,72563,469,73032,38.33
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,10,M.VINOTHKUMAR,Anna MGR Dravida Makkal Kalgam,125,6,131,0.07
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,11,S.APPU,Independent,102,1,103,0.05
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,12,S.MADHAN KUMAR,Independent,122,1,123,0.06
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,13,S.RAJKAMAL,Independent,49,0,49,0.03
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,14,M.LOGANATHAN,Independent,59,0,59,0.03
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,15,U.VIJAYA KUMAR,Independent,191,0,191,0.1
43,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2243.htm,16,NOTA,None of the Above,745,12,757,0.4
