const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,1,S KOWSALYA,Naam Tamilar Katchi,8305,131,8436,4.57
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,2,E.SAROJA,All India Anna Dravida Munnetra Kazhagam,56069,580,56649,30.72
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,3,P.SRINIVASAN,Bahujan Samaj Party,582,6,588,0.32
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,4,M.LENIN PRASATH,Indian National Congress,48396,826,49222,26.69
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,5,GNANAVETTIYAN SIVAPERUMAL .K,Tamizhaga Vaazhvurimai Katchi,512,1,513,0.28
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,6,RAVISANKAR.M,Tamilaga Vettri Kazhagam,65711,552,66263,35.93
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,7,T. RAJAMANICKAM,Puthiya Tamilagam,236,0,236,0.13
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,8,E.SAROJA,Independent,95,0,95,0.05
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,9,K.SAROJA,Independent,106,1,107,0.06
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,10,P.SAROJA,Independent,140,1,141,0.08
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,11,K.SELVAM,Independent,350,6,356,0.19
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,12,SELVAM .G,Independent,193,0,193,0.1
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,13,G. DHINESHKUMAR,Independent,323,3,326,0.18
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,14,N. MUTHAZHAGU,Independent,213,0,213,0.12
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,15,M. RAVICHANDRAN,Independent,387,4,391,0.21
146,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22146.htm,16,NOTA,None of the Above,686,11,697,0.38
