const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,1,SATHYALAKSHMI. K,Naam Tamilar Katchi,9389,78,9467,4.64
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,2,CHELLAPANDIYAN. K.K,Dravida Munnetra Kazhagam,39884,513,40397,19.81
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,3,VIJAYABASKAR. C,All India Anna Dravida Munnetra Kazhagam,104857,916,105773,51.87
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,4,KARTHIKA PRAKASH,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,830,4,834,0.41
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,5,SELVARAJ. A,Puthiya Tamilagam,245,6,251,0.12
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,6,PALANISAMY. K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,261,0,261,0.13
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,7,MURUGESAN. P,Tamilaga Vettri Kazhagam,43464,236,43700,21.43
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,8,ADAIKALARAJ. S,Independent,95,1,96,0.05
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,9,ALAGAR. P ADVOCATE,Independent,52,0,52,0.03
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,10,CHANDRAJOTHI. M,Independent,58,2,60,0.03
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,11,SUBBAIAH. R,Independent,71,4,75,0.04
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,12,THIRUMURUGAN. A,Independent,68,2,70,0.03
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,13,THIRUMURUGAN. K,Independent,217,1,218,0.11
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,14,THIRUVENDRAN. V,Independent,424,0,424,0.21
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,15,PALANISAMY. A,Independent,134,0,134,0.07
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,16,BALASUBRAMANIAN. K.K,Independent,205,0,205,0.1
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,17,BALASUBRAMANIAN. M,Independent,130,0,130,0.06
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,18,BALAVEL MURUGESAN. T,Independent,215,0,215,0.11
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,19,MAHENDIRAN. K,Independent,555,0,555,0.27
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,20,MANIKANDAN. M,Independent,157,0,157,0.08
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,21,MATHIYALAGAN. G,Independent,57,1,58,0.03
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,22,RAJA. P,Independent,41,1,42,0.02
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,23,VEERAMANI. M,Independent,90,0,90,0.04
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,24,VEERAMANI. M,Independent,56,0,56,0.03
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,25,JAYAGANDHI. R,Independent,153,0,153,0.08
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,26,JOTHIVEL. A,Independent,73,0,73,0.04
179,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22179.htm,27,NOTA,None of the Above,370,5,375,0.18
