const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,1,T.M.ANBARASAN,Dravida Munnetra Kazhagam,81642,954,82596,31.58
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2,S.SARAVANAN,All India Anna Dravida Munnetra Kazhagam,51652,591,52243,19.97
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,3,Y.G.MAHALAKSHMI,Naam Tamilar Katchi,10346,59,10405,3.98
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,4,J.AGNI SELVARASU,Naadaalum Makkal Katchi,230,3,233,0.09
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,5,ARAVIND CHANDRASEKAR,Indhu Dravida Makkal Katchi,76,1,77,0.03
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,6,B. KALYANARAMKUMAR,Naam Indiar Party,59,1,60,0.02
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,7,S.ROYAPPAN,Tamizhaga Vaazhvurimai Katchi,89,0,89,0.03
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,8,A.VELUSAMY,Puthiya Tamilagam,92,1,93,0.04
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,9,N.HARI KRISHNAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,315,2,317,0.12
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,10,M.HARISH,Tamilaga Vettri Kazhagam,111572,633,112205,42.9
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,11,V.ANBARASAN,Independent,119,1,120,0.05
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,12,A.SARAVANAN,Independent,77,1,78,0.03
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,13,S.SARAVANAN,Independent,64,12,76,0.03
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,14,D.SARAVANAN,Independent,38,12,50,0.02
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,15,R.SARAVANAN,Independent,148,2,150,0.06
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,16,R.SURESH,Independent,166,2,168,0.06
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,17,SENKODI VIJAYALAKSHMI,Independent,231,2,233,0.09
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,18,R.SELVAKUMAR,Independent,69,0,69,0.03
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,19,G.DANIEL ANTONYRAJ,Independent,19,0,19,0.01
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,20,MAHESH KUMAR,Independent,103,2,105,0.04
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,21,G.RAMANAN,Independent,17,0,17,0.01
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,22,K.VELAYUDHAM,Independent,50,1,51,0.02
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,23,M.HARISH,Independent,845,8,853,0.33
28,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,24,NOTA,None of the Above,1252,11,1263,0.48
