const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,1,AMUTHA.N,Naam Tamilar Katchi,11942,90,12032,3.71
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,2,M.GAJENDRAN,All India Anna Dravida Munnetra Kazhagam,69280,483,69763,21.53
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,3,KARTHIKDHANDAPANI,Dravida Munnetra Kazhagam,100715,780,101495,31.32
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,4,S. SARAVANAN,Bahujan Samaj Party,373,1,374,0.12
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,5,S.SELVAM (A) CHELLA,Tamizhaga Vaazhvurimai Katchi,380,1,381,0.12
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,6,S. THIYAGARAJAN,Tamilaga Vettri Kazhagam,136578,558,137136,42.32
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,7,M.ANANDAN,Independent,296,3,299,0.09
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,8,A.ESAKKIAPPAN,Independent,121,1,122,0.04
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,9,KARTHICK.A,Independent,105,2,107,0.03
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,10,G. CHRISTOPHER,Independent,62,6,68,0.02
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,11,S.DELHI BABU,Independent,119,8,127,0.04
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,12,T. PREM BALAJI,Independent,69,2,71,0.02
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,13,V. RAMAKRISHNAN,Independent,166,0,166,0.05
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,14,C.VIMALRAJ,Independent,288,2,290,0.09
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,15,P.GEORGE DEVADOSS,Independent,184,0,184,0.06
32,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2232.htm,16,NOTA,None of the Above,1376,19,1395,0.43
