const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,1,APPAVU.M,Dravida Munnetra Kazhagam,56640,994,57634,28.83
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,2,ESSAKKIAMMAL.E,Bahujan Samaj Party,328,3,331,0.17
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,3,GIRIJA THAMARAIPANDIAN.D,Naam Tamilar Katchi,15225,145,15370,7.69
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,4,BALAKRISHNAN.S.P,Bharatiya Janata Party,52001,636,52637,26.33
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,5,DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,69400,547,69947,34.99
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,6,JESURAJENDRAN.J,Naam Indiar Party,162,1,163,0.08
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,7,MAHALAKSHMI,Puthiya Makkal Tamil Desam Katchi,101,2,103,0.05
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,8,MURUGAN.P,Thamizhaka Padaippalar Makkal Katchi,120,1,121,0.06
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,9,ARUNRAJ,Independent,34,0,34,0.02
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,10,OLIVER ANTON NAVAMONI. S,Independent,70,0,70,0.04
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,11,ANANTHI.R,Independent,76,0,76,0.04
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,12,ANAND PRASAD,Independent,195,0,195,0.1
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,13,KARTHICK.V,Independent,222,10,232,0.12
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,14,KINGSLY ISACC JEBARAJ.S,Independent,131,3,134,0.07
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,15,SUNDARAJAN.S,Independent,93,0,93,0.05
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,16,SELVAN.T,Independent,280,5,285,0.14
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,17,DANIEL.A,Independent,818,1,819,0.41
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,18,PON SANTHANA KUMARAN.R,Independent,476,6,482,0.24
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,19,MANIKANDAN.A.I,Independent,163,1,164,0.08
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,20,MANIKANDAN.S,Independent,205,0,205,0.1
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,21,MANIKANDAN.L,Independent,222,1,223,0.11
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,22,RAJAN.P,Independent,52,0,52,0.03
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,23,JEYARAJ.P V S,Independent,91,1,92,0.05
228,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22228.htm,24,NOTA,None of the Above,462,7,469,0.23
