const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,1,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,101533,1274,102807,45.64
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,2,DR. DNV SENTHILKUMAR. S.,Dravida Munnetra Kazhagam,49220,823,50043,22.22
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,3,BOOPATHI. R.,Naam Tamilar Katchi,5492,106,5598,2.49
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,4,GOPI. R.,Tamilaga Vettri Kazhagam,63211,554,63765,28.31
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,5,PALANIYAMMAL. M.,Tamilar Makkal Katchi,153,2,155,0.07
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,6,RAMESH. P.,Naadaalum Makkal Katchi,176,3,179,0.08
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,7,JAYARAMAN PERUMAL. P.,Tamizhaga Vaazhvurimai Katchi,115,3,118,0.05
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,8,KRISHNAN. L.,Independent,61,0,61,0.03
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,9,CHINNASAMY. N.,Independent,114,0,114,0.05
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,10,SENTHILKUMAR. G.,Independent,140,5,145,0.06
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,11,SENTHILKUMAR. K,Independent,109,7,116,0.05
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,12,PERUMAL MUNUSAMY. M.,Independent,222,1,223,0.1
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,13,MADHAPPAN. P.,Independent,281,2,283,0.13
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,14,RAMAN. M.,Independent,358,0,358,0.16
57,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2257.htm,15,NOTA,None of the Above,1285,7,1292,0.57
