const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,1,P. SANTHANA KRISHNAN,All India Anna Dravida Munnetra Kazhagam,18215,215,18430,10.01
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,2,SUBASHINI,Bahujan Samaj Party,226,10,236,0.13
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,3,SOUNDARA PANDIAN LUDER SETH,Naam Tamilar Katchi,5012,34,5046,2.74
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,4,M. K. STALIN,Dravida Munnetra Kazhagam,73220,982,74202,40.32
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,5,AATHITHYA,Samata Party,180,1,181,0.1
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,6,E. RAAMADASAN,Makkal Nalvaazhvuk Katchi,49,0,49,0.03
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,7,OORMILA,Tamizhaga Vaazhvurimai Katchi,104,1,105,0.06
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,8,K. ELUMALAI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,24,0,24,0.01
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,9,SIVAGNANASAM,Desiya Makkal Sakthi Katchi,25,1,26,0.01
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,10,S.Y. SYED YUSUF,Republican Party of India (Athawale),476,8,484,0.26
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,11,V. S. BABU,Tamilaga Vettri Kazhagam,82614,383,82997,45.09
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,12,ARUL DOSS. A.,Independent,53,2,55,0.03
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,13,KAJA MAIDEEN,Independent,43,0,43,0.02
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,14,V. A. SUDHAKAR,Independent,31,0,31,0.02
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,15,M. SURESH,Independent,33,0,33,0.02
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,16,J. SURIYA MUTHU,Independent,83,1,84,0.05
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,17,R. SENTHIL KUMAR,Independent,123,2,125,0.07
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,18,SELVI STEFFI. V. M,Independent,120,2,122,0.07
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,19,NANDA KUMAR,Independent,79,0,79,0.04
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,20,A. L. NARESH KUMAR,Independent,74,0,74,0.04
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,21,V. NARESH BABU,Independent,52,0,52,0.03
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,22,K. PANNEER SELVAM,Independent,50,0,50,0.03
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,23,S. BALACHANDAR,Independent,13,0,13,0.01
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,24,R. BALAJI,Independent,21,0,21,0.01
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,25,M. POORNIMA,Independent,55,1,56,0.03
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,26,R. MAHESH,Independent,64,0,64,0.03
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,27,P. MILANY,Independent,56,0,56,0.03
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,28,R. RAVIKUMAR,Independent,33,1,34,0.02
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,29,R. RAJ GURU,Independent,152,1,153,0.08
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,30,RAJA. G.,Independent,28,0,28,0.02
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,31,A. RAJI,Independent,22,1,23,0.01
13,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,32,M. RAJESHKUMAR,Independent,72,1,73,0.04
