const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,1,ABISHEK. R,All India Anna Dravida Munnetra Kazhagam,17976,215,18191,15.19
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,2,SARANYA IMRAN,Naam Tamilar Katchi,2497,25,2522,2.11
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,3,TAMILAN PRASANNA,Dravida Munnetra Kazhagam,42728,369,43097,35.99
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,4,ARUN RAO. N.A,Naam Indiar Party,152,0,152,0.13
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,5,DR.N. GUNASEKAR,Republican Party of India (Athawale),204,5,209,0.17
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,6,D. THIRUNAVUKKARASAR,Tamizhaga Vaazhvurimai Katchi,109,2,111,0.09
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,7,T. MAGIZHANBAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,97,2,99,0.08
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,8,G.R. RAJENDRAN,National Maha Sabha Party,169,4,173,0.14
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,9,RAJMOHAN,Tamilaga Vettri Kazhagam,53520,381,53901,45.02
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,10,ARAVINDAN,Independent,65,0,65,0.05
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,11,R. KUMARAVEL,Independent,41,0,41,0.03
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,12,M. NAGARAJAN,Independent,54,0,54,0.05
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,13,S. PICHAMUTHU,Independent,51,0,51,0.04
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,14,RAJKUMAR,Independent,44,0,44,0.04
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,15,RAJMOHAN,Independent,88,4,92,0.08
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,16,S. VINOTH KUMAR,Independent,153,2,155,0.13
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,17,VENKATESH. K,Independent,60,0,60,0.05
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,18,SRIDHAR. M,Independent,26,0,26,0.02
16,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,19,NOTA,None of the Above,692,3,695,0.58
