const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,1,SREENIVASAN. C,All India Anna Dravida Munnetra Kazhagam,53228,758,53986,25.46
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,2,SENTHILKUMAR. I.P,Dravida Munnetra Kazhagam,73160,1329,74489,35.13
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,3,MUTHARASI. S,Naam Tamilar Katchi,7142,157,7299,3.44
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,4,GOPI KRISHNAN PILLAI. S,Rashtriya Samaj Dal (R),95,1,96,0.05
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,5,SHEIK BAREETH.B,Tamizhaga Vaazhvurimai Katchi,246,3,249,0.12
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,6,NAZEER RAJA. G,Tamilaga Vettri Kazhagam,72510,848,73358,34.6
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,7,PRADEEP. M,Puthiya Tamilagam,193,10,203,0.1
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,8,RAMUTHEVAR. P,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,179,5,184,0.09
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,9,ANIS BABU. M,Independent,75,0,75,0.04
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,10,AROCKIA DASS. J,Independent,54,2,56,0.03
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,11,UMAR ALI. R,Independent,100,3,103,0.05
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,12,GANESH PERUMAL. D,Independent,44,1,45,0.02
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,13,KARMEGAM. R,Independent,54,0,54,0.03
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,14,SARANYA. M,Independent,87,1,88,0.04
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,15,SEENIVASAN. P,Independent,175,1,176,0.08
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,16,SELVADHAYANITHI. M,Independent,252,0,252,0.12
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,17,NAGARAJ. N,Independent,211,0,211,0.1
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,18,BABU. S,Independent,197,0,197,0.09
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,19,MUNIYAPPAN. M,Independent,32,0,32,0.02
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,20,RAJENDRAN. G,Independent,37,1,38,0.02
132,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22132.htm,21,NOTA,None of the Above,804,29,833,0.39
