const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,1,KATHIRAVAN. S,Dravida Munnetra Kazhagam,80054,1393,81447,38.82
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,2,THENMOZHI. R,Naam Tamilar Katchi,9187,102,9289,4.43
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,3,R.V. BHARATHAN,All India Anna Dravida Munnetra Kazhagam,45686,380,46066,21.96
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,4,BALAKRISHNAN (A) AMOOR BALU,Bahujan Samaj Party,382,2,384,0.18
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,5,V.SARAVANAN,Tamilaga Vettri Kazhagam,68550,533,69083,32.93
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,6,K. SENTHILKUMAR,Samaniya Makkal Nala Katchi,140,0,140,0.07
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,7,BALU. M,Puthiya Tamilagam,183,3,186,0.09
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,8,REVATHI. S,Akila Inthiya Makkal Marumalarchi Kazhakam,74,1,75,0.04
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,9,VEERAIYA. C,Tamizhaga Vaazhvurimai Katchi,62,0,62,0.03
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,10,KARTHIKEYAN. P,Independent,131,1,132,0.06
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,11,GOPALAKRISHNAN. V,Independent,44,0,44,0.02
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,12,SHANMUGAM. V.T,Independent,113,0,113,0.05
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,13,SATHEESKUMAR. K,Independent,76,4,80,0.04
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,14,SARAVANAKUMAR. S,Independent,130,0,130,0.06
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,15,DIVESH. S,Independent,102,1,103,0.05
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,16,NAGARAJAN. V,Independent,456,0,456,0.22
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,17,RAMESH KUMAR. G,Independent,498,0,498,0.24
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,18,RADHAKRISHNAN. S,Independent,340,1,341,0.16
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,19,RAMPRASAD. N,Independent,230,0,230,0.11
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,20,RAJASEHAR. R,Independent,117,0,117,0.06
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,21,RAJU. V,Independent,153,0,153,0.07
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,22,JAYARAMAN. M,Independent,52,0,52,0.02
144,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22144.htm,23,NOTA,None of the Above,591,8,599,0.29
