const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,1,ARUMUGAM. V,Naam Tamilar Katchi,5360,122,5482,2.7
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,2,NALLATHAMBI. A,Dravida Munnetra Kazhagam,56264,571,56835,28.01
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,3,RAJIV GANDHI. S,Bahujan Samaj Party,359,2,361,0.18
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,4,KALASTHIRI. S,All India Uzhavargal Uzhaippalargal Katchi,203,5,208,0.1
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,5,SATHIYAMOORTHY. S,Makkal Nala Kazhagam,135,1,136,0.07
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,6,SEKAR. N,All India Youth Development Party,385,2,387,0.19
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,7,GNANASEKAR. A,Amma Makkal Munnettra Kazagam,29817,186,30003,14.79
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,8,DR.THIRUPATHI. N,Tamilaga Vettri Kazhagam,104203,895,105098,51.79
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,9,RAJESH. S,Tamizhaga Vaazhvurimai Katchi,485,1,486,0.24
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,10,VIJAYAKUMAR. G,Aanaithinthiya Jananayaka Pathukappu Kazhagam,343,2,345,0.17
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,11,ANJALI. M,Independent,110,5,115,0.06
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,12,GOVIND. T.G,Independent,55,0,55,0.03
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,13,SANKAR. S,Independent,181,1,182,0.09
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,14,GNANASEKARAN. M,Independent,126,1,127,0.06
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,15,GNANASEKARAN. R,Independent,206,0,206,0.1
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,16,THIRUPATHI. C,Independent,349,6,355,0.17
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,17,THIRUPATHI. S,Independent,331,8,339,0.17
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,18,THIRUPATHI. N,Independent,447,0,447,0.22
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,19,NALLATHAMBI. R,Independent,191,1,192,0.09
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,20,BALABHARATHI. S.V,Independent,127,1,128,0.06
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,21,DR.POOVALAGI. P,Independent,138,1,139,0.07
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,22,MOHAN RAJ. R,Independent,119,0,119,0.06
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,23,RAGUJOSEPH. J,Independent,308,0,308,0.15
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,24,VENKATESAN. K,Independent,407,1,408,0.2
50,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2250.htm,25,NOTA,None of the Above,456,8,464,0.23
