const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,1,N.S.KARUNAIRAAJA,Dravida Munnetra Kazhagam,52345,1494,53839,28.47
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,2,G. BAKIYALAKSHMI,Naam Tamilar Katchi,8184,173,8357,4.42
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,3,N.YOGANATHAN,All India Anna Dravida Munnetra Kazhagam,51149,912,52061,27.52
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,4,M.CHINNAIYAN,Puthiya Tamilagam,668,9,677,0.36
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,5,K.DHIVYA,Rashtriya Samaj Dal (R),248,5,253,0.13
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,6,C.PALANISAMY,Tamizhaga Vaazhvurimai Katchi,259,6,265,0.14
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,7,MALARMANNAN.M,Samaniya Makkal Nala Katchi,275,6,281,0.15
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,8,M.VIGNESH,Tamilaga Vettri Kazhagam,70317,964,71281,37.69
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,9,S.VENKATESHWARAN,Anti Corruption Dynamic Party,239,0,239,0.13
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,10,SENTHILKUMAR,Independent,305,3,308,0.16
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,11,P.LOGANATHAN M.SC.M.PHIL.,Independent,483,4,487,0.26
145,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22145.htm,12,NOTA,None of the Above,1060,33,1093,0.58
