const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,1,GANESAN V.G.,All India Anna Dravida Munnetra Kazhagam,33851,361,34212,20.38
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,2,LAKSHMANAN,Naam Tamilar Katchi,9938,182,10120,6.03
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,3,VIJAYAPRABHAKAR,Desiya Murpokku Dravida Kazhagam,53689,573,54262,32.33
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,4,SELVAM P,Tamilaga Vettri Kazhagam,63070,583,63653,37.93
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,5,BALASUBRAMANIAM M,Puthiya Tamilagam,2166,51,2217,1.32
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,6,RATHINARAJA S,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,145,3,148,0.09
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,7,VIKRAMAN N,Desa Makkal Munnetrak Kazhagam,115,3,118,0.07
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,8,AMIRTHA PANDI M.V,Independent,121,1,122,0.07
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,9,AJAY I,Independent,532,0,532,0.32
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,10,GUNASUNDARAM R,Independent,204,0,204,0.12
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,11,GURUSAMY S,Independent,180,2,182,0.11
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,12,SANTHOSH KUMAR R,Independent,137,0,137,0.08
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,13,SUBBURAJ K,Independent,342,1,343,0.2
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,14,MUTHUVEL S,Independent,508,1,509,0.3
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,15,RANJITH S,Independent,118,1,119,0.07
206,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22206.htm,16,NOTA,None of the Above,940,14,954,0.57
