const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,1,AADIRAJARAM,All India Anna Dravida Munnetra Kazhagam,16368,139,16507,11.73
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,2,AYSHA,Naam Tamilar Katchi,2959,12,2971,2.11
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,3,UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,62560,432,62992,44.76
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,4,MOHAMMED YASSER,Bahujan Samaj Party,243,1,244,0.17
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,5,IRFAN BASHA,Tamizhaga Vaazhvurimai Katchi,144,1,145,0.1
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,6,SELVAM. D,Tamilaga Vettri Kazhagam,55636,216,55852,39.68
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,7,AGNI AALVAR,Independent,242,1,243,0.17
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,8,ATHIMULAM,Independent,30,0,30,0.02
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,9,AYISHA,Independent,70,2,72,0.05
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,10,ARUMUGAM. C,Independent,25,0,25,0.02
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,11,KUMAR. M,Independent,29,4,33,0.02
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,12,SAAMY. S.K. DR,Independent,40,0,40,0.03
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,13,SEENIVASAN. L,Independent,27,2,29,0.02
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,14,SELVAM. K,Independent,42,1,43,0.03
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,15,SELVAM. K,Independent,37,0,37,0.03
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,16,SYEED LAYAK BHASHA,Independent,83,0,83,0.06
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,17,BHARATHKUMAR. G,Independent,69,0,69,0.05
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,18,MILANY. P,Independent,30,0,30,0.02
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,19,MIRZA SAFDER ALI,Independent,185,0,185,0.13
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,20,MOHAMED DHARIK. I,Independent,38,0,38,0.03
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,21,MOHAMED MEERA. A,Independent,68,0,68,0.05
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,22,RAJASEKAR. S,Independent,115,0,115,0.08
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,23,RAJESHKUMAR. K,Independent,154,0,154,0.11
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,24,VIJAYA KUMAR. B,Independent,34,0,34,0.02
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,25,SELVAM ( ALIAS ) VENKATESH,Independent,26,0,26,0.02
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,26,SELVAM ( ALIAS ) HARINARAYANAN,Independent,33,0,33,0.02
19,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,27,NOTA,None of the Above,636,7,643,0.46
