const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,1,P. KRISHNASAMY,Bahujan Samaj Party,379,4,383,0.17
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,2,DURAI. SENTHAMIL SELVAN B.E,Dravida Munnetra Kazhagam,69739,769,70508,31.18
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,3,NARMADHA. G.,Naam Tamilar Katchi,8990,46,9036,4
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,4,VANATHI SRINIVASAN,Bharatiya Janata Party,49112,610,49722,21.99
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,5,K. UDHAYAKUMAR,Thamizhaka Padaippalar Makkal Katchi,326,1,327,0.14
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,6,V. SAMPATHKUMAR,Tamilaga Vettri Kazhagam,92136,364,92500,40.91
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,7,S. SENTHILKUMAR,Samaniya Makkal Nala Katchi,120,1,121,0.05
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,8,S. MEENAKSHI SUNDARAM,Tamizhaga Murpokku Makkal Katchi,75,0,75,0.03
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,9,K. RAGHUL GANDHI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,112,0,112,0.05
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,10,RAJASEKARAN. B.,Tamizhaga Vaazhvurimai Katchi,93,3,96,0.04
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,11,G.D. KRISHNAKUMAR,Independent,104,0,104,0.05
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,12,V. KRISHNAN,Independent,115,3,118,0.05
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,13,R. SATHISH KUMAR,Independent,54,0,54,0.02
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,14,K. SAMPATH KUMAR,Independent,71,0,71,0.03
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,15,S. SAMPATHKUMAR,Independent,133,1,134,0.06
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,16,R. SAMPATH KUMAR,Independent,309,1,310,0.14
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,17,P. SARAVANAN,Independent,120,1,121,0.05
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,18,A.K. SENTHAMIZH SELVAN,Independent,350,1,351,0.16
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,19,R. SETHURAGUNATHAN,Independent,59,1,60,0.03
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,20,S. DHANA RAJ,Independent,86,1,87,0.04
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,21,PALANIKUMAR. V.,Independent,152,0,152,0.07
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,22,BALU. P.M.,Independent,275,1,276,0.12
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,23,R. MANIAN,Independent,89,0,89,0.04
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,24,A. MARIMUTHU,Independent,54,0,54,0.02
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,25,A. RAMESH,Independent,26,0,26,0.01
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,26,RAVI. V,Independent,95,0,95,0.04
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,27,G. RAJKUMAR,Independent,41,1,42,0.02
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,28,V. LINGARAJA,Independent,65,0,65,0.03
118,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22118.htm,29,NOTA,None of the Above,998,22,1020,0.45
