party_name,party_abbr,S.No,Constituency,Winning Candidate,Total Votes,Margin,Status
Tamilaga Vettri Kazhagam - TVK,TVK,53,TIRUCHENGODU(96),ARUNRAJ K G,79500,28172,22/22
Tamilaga Vettri Kazhagam - TVK,TVK,54,KUMARAPALAYAM(97),C.VIJAYALAKSHMI,81179,7696,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,55,ERODE (EAST)(98),M.VIJAY BALAJI,69747,23966,20/20
Tamilaga Vettri Kazhagam - TVK,TVK,56,ERODE (WEST)(99),ANANTH MOGHAN K.K.,96836,22250,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,57,MODAKKURICHI(100),D.SHANMUGAN,60715,2430,21/21
Tamilaga Vettri Kazhagam - TVK,TVK,58,GOBICHETTIPALAYAM(106),SENGOTTAIYAN.K.A,82612,16620,23/23
Tamilaga Vettri Kazhagam - TVK,TVK,59,BHAVANISAGAR(107),V.P.TAMILSELVI,72391,4569,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,60,METTUPPALAYAM(111),SUNILANAND,75664,7768,27/27
Tamilaga Vettri Kazhagam - TVK,TVK,61,AVANASHI(112),KAMALI.S,84209,15373,28/28
Tamilaga Vettri Kazhagam - TVK,TVK,62,TIRUPPUR (NORTH)(113),V.SATHYABAMA,131401,69992,34/34
Tamilaga Vettri Kazhagam - TVK,TVK,63,TIRUPPUR (SOUTH)(114),BALAMURUGAN. S,73793,12901,21/21
Tamilaga Vettri Kazhagam - TVK,TVK,64,PALLADAM(115),K.RAMKUMAR,121297,37897,35/35
Tamilaga Vettri Kazhagam - TVK,TVK,65,SULUR(116),NM.SUKUMAR,90531,4790,30/30
Tamilaga Vettri Kazhagam - TVK,TVK,66,KAVUNDAMPALAYAM(117),KANIMOZHI SANTHOSH,146466,42140,28/28
Tamilaga Vettri Kazhagam - TVK,TVK,67,COIMBATORE (NORTH)(118),V. SAMPATHKUMAR,92500,21992,25/25
Tamilaga Vettri Kazhagam - TVK,TVK,68,SINGANALLUR(121),K.S.SRI GIRI PRASATH,84163,19139,27/27
Tamilaga Vettri Kazhagam - TVK,TVK,69,KINATHUKADAVU(122),VIGNESH K,99950,11710,31/31
Tamilaga Vettri Kazhagam - TVK,TVK,70,NILAKKOTTAI(130),AYYANAR.R,68580,2925,25/25
Tamilaga Vettri Kazhagam - TVK,TVK,71,KRISHNARAYAPURAM(136),SATHYA. M,62378,3503,21/21
Tamilaga Vettri Kazhagam - TVK,TVK,72,MANAPPARAI(138),R. KATHIRAVAN,83041,1426,26/26
Tamilaga Vettri Kazhagam - TVK,TVK,73,SRIRANGAM(139),RAMESH,103235,33590,28/28
Tamilaga Vettri Kazhagam - TVK,TVK,74,TIRUCHIRAPPALLI (EAST)(141),C. JOSEPH VIJAY,91381,27416,28/28
Tamilaga Vettri Kazhagam - TVK,TVK,75,THIRUVERUMBUR(142),VIJAYAKUMAR (A) NAVALPATTU S. VIJI,89837,8705,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,76,MUSIRI(145),M.VIGNESH,71281,17442,21/21
Tamilaga Vettri Kazhagam - TVK,TVK,77,THURAIYUR(146),RAVISANKAR.M,66263,9614,23/23
Tamilaga Vettri Kazhagam - TVK,TVK,78,PERAMBALUR(147),SIVAKUMAR. K,90882,14393,28/28
Tamilaga Vettri Kazhagam - TVK,TVK,79,CUDDALORE(155),B.RAJKUMAR,70856,15519,20/20
Tamilaga Vettri Kazhagam - TVK,TVK,80,KUMBAKONAM(171),VINOTH,78650,679,23/23
Tamilaga Vettri Kazhagam - TVK,TVK,81,THANJAVUR(174),R. VIJAYSARAVANAN,87705,16955,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,82,GANDHARVAKOTTAI(178),N. SUBRAMANIAN,58795,11039,18/18
Tamilaga Vettri Kazhagam - TVK,TVK,83,ARANTHANGI(183),MOHAMED FARVAS. J,73244,10062,23/23
Tamilaga Vettri Kazhagam - TVK,TVK,84,KARAIKUDI(184),DR.PRABHU. TK,101358,46074,30/30
Tamilaga Vettri Kazhagam - TVK,TVK,85,TIRUPPATTUR(185),SEENIVASA SETHUPATHY. R,83375,1,30/30
Tamilaga Vettri Kazhagam - TVK,TVK,86,SIVAGANGA(186),KULANTHAI RANI A,73737,15081,31/31
Tamilaga Vettri Kazhagam - TVK,TVK,87,MANAMADURAI(187),ELANGOVAN.D,69971,1208,27/27
Tamilaga Vettri Kazhagam - TVK,TVK,88,MADURAI EAST(189),KARTHIKEYAN S,118777,16547,29/29
Tamilaga Vettri Kazhagam - TVK,TVK,89,SHOLAVANDAN(190),KARUPPAIAH.M.V,63907,2678,19/19
Tamilaga Vettri Kazhagam - TVK,TVK,90,MADURAI NORTH(191),A.KALLANAI,72853,18038,19/19
Tamilaga Vettri Kazhagam - TVK,TVK,91,MADURAI SOUTH(192),M.M.GOPISON,62415,21529,17/17
Tamilaga Vettri Kazhagam - TVK,TVK,92,MADURAI CENTRAL(193),MADHAR BADHURUDEEN,63414,19128,19/19
Tamilaga Vettri Kazhagam - TVK,TVK,93,MADURAI WEST(194),THANGAPANDI SR,88250,11931,27/27
Tamilaga Vettri Kazhagam - TVK,TVK,94,THIRUPARANKUNDRAM(195),NIRMALKUMAR. R.,114316,41553,27/27
Tamilaga Vettri Kazhagam - TVK,TVK,95,USILAMPATTI(197),VIJAY. M,65743,1805,25/25
Tamilaga Vettri Kazhagam - TVK,TVK,96,PERIYAKULAM(199),SABARI IYNGARAN G.,85656,19321,26/26
Tamilaga Vettri Kazhagam - TVK,TVK,97,CUMBUM(201),JEGANATHMISHRA PLA,85394,751,25/25
Tamilaga Vettri Kazhagam - TVK,TVK,98,RAJAPALAYAM(202),JEGADESHWARI. K,65548,10605,21/21
Tamilaga Vettri Kazhagam - TVK,TVK,99,SRIVILLIPUTHUR(203),KARTHIK.A,65653,8581,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,100,SIVAKASI(205),KEERTHANA S,68709,11670,22/22
Tamilaga Vettri Kazhagam - TVK,TVK,101,VIRUDHUNAGAR(206),SELVAM P,63653,9391,23/23
Tamilaga Vettri Kazhagam - TVK,TVK,102,TIRUVADANAI(210),RAJEEV,69551,2513,28/28
Tamilaga Vettri Kazhagam - TVK,TVK,103,THOOTHUKKUDI(214),SRINATH,100536,37731,26/26
Tamilaga Vettri Kazhagam - TVK,TVK,104,SRIVAIKUNTAM(216),SARAVANAN. G,58814,1186,21/21
Tamilaga Vettri Kazhagam - TVK,TVK,105,OTTAPIDARAM(217),P .MATHANRAJA,81625,29083,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,106,TIRUNELVELI(224),MURUGHAN.R.S.,75840,11414,28/28
Tamilaga Vettri Kazhagam - TVK,TVK,107,NANGUNERI(227),REDDIARPATTI V. NARAYANAN,74952,16419,25/25
Tamilaga Vettri Kazhagam - TVK,TVK,108,RADHAPURAM(228),DR.SATHISH CHRISTOPHER,69947,12313,26/26
