party_name,party_abbr,S.No,Constituency,Winning Candidate,Total Votes,Margin,Status
Viduthalai Chiruthaigal Katchi - VCK,VCK,1,TINDIVANAM(72),VANNI ARASU,63833,734,23/23
Viduthalai Chiruthaigal Katchi - VCK,VCK,2,KATTUMANNARKOIL(159),L.E. JOTHIMANI,85179,33063,22/22
